"filename", "language", "Markdown", "Lua", "XML", "comment", "blank", "total"
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EncodingSetting\{859c1df1-5a2d-4c71-b853-928521993e0e}.xml", "XML", 0, 0, 17, 0, 1, 18
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EncodingSetting\{8d753bd8-eb58-41ef-b451-4942f4df108e}.xml", "XML", 0, 0, 17, 0, 1, 18
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EncodingSetting\{8edcad60-dcdb-4e17-aa46-fa267adda62c}.xml", "XML", 0, 0, 17, 0, 1, 18
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EncodingSetting\{ae51388b-6003-4c15-9e9c-48a5f9e95a62}.xml", "XML", 0, 0, 17, 0, 1, 18
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EncodingSetting\{d043db3a-b2a7-430b-a2ad-0f535654bdff}.xml", "XML", 0, 0, 17, 0, 1, 18
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EncodingSetting\{d2583550-b225-4a18-bb46-561661b5df54}.xml", "XML", 0, 0, 17, 0, 1, 18
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EncodingSetting\{d328a472-5cb5-4f61-b204-ff270e8c6852}.xml", "XML", 0, 0, 14, 0, 1, 15
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EncodingSetting\{dda4ca4f-db88-4e36-b4f0-e531d7ccee63}.xml", "XML", 0, 0, 17, 0, 1, 18
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EncodingSetting\{e3a17906-ba84-44f0-bdb9-755d74b00233}.xml", "XML", 0, 0, 17, 0, 1, 18
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EncodingSetting\{eaa3ae00-0b41-42d4-af5d-295850092ea2}.xml", "XML", 0, 0, 17, 0, 1, 18
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EncodingSetting\{f74ea033-a924-4774-ada8-afc234ef197c}.xml", "XML", 0, 0, 17, 0, 1, 18
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EncodingSetting\{ff1d0e75-c38e-4779-ba5e-004dcc05cdb6}.xml", "XML", 0, 0, 17, 0, 1, 18
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EventFolder\{4887e6fa-e58e-4571-9d99-cebb336430d8}.xml", "XML", 0, 0, 4, 0, 1, 5
